[2019/08/26 17:28:41.381] [TID:10] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.381] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.432] [TID:5] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.432] [TID:10] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.495] [TID:5] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.501] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.530] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.531] [TID:10] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.611] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.611] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.652] [TID:16] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.652] [TID:16] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.679] [TID:6] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.679] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.705] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.705] [TID:5] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.721] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.721] [TID:16] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.758] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.782] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.816] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.816] [TID:6] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.829] [TID:5] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.847] [TID:16] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:28:41.847] [TID:10] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.861] [TID:4] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:28:41.861] [TID:16] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
